,post_id,text,post_text,shared_text,time,likes,comments,shares,user_id,username,Comment_texts,Comment_reaction_count
0,1732030300505164,"""Does that look right to you?""

BBC.COM
Artwork displayed upside down for 75 years","""Does that look right to you?""","BBC.COM
Artwork displayed upside down for 75 years",2022-10-29 13:57:07,13,5,0,100054397024629,Dra Gon,"['Artwork?', 'James Coulter Work produced by an artist- so, yes. 👍', 'Dave Clark. Artist?', 'Crap for Conmen', ""Artwork, I don't think so! looks like the tiles were coming down and a bright spark had an idea to fix them temporarily with electrical tape but went too far. Obviously no one went back to fix it and it got mistaken for dare I say it Artwork, upside down as well. so it's modern art..🙃""]","[None, None, None, None, None]"
1,1733058653735662,"Hours after Speaker of the House Nancy Pelosi's husband was attacked, US intelligence warned candidates faced a ""heightened risk"".

BBC.COM
Violent extremism warning ahead of US election","Hours after Speaker of the House Nancy Pelosi's husband was attacked, US intelligence warned candidates faced a ""heightened risk"".","BBC.COM
Violent extremism warning ahead of US election",2022-10-30 20:40:47,3,2,0,100054397024629,Dra Gon,"['دانمللاااننللرط\nسینزی', 'He was attacked by his lover they were both in their underwear and he was in the USA illegally from Canada 🇨🇦 and a registered sex offender please BBC report the true story for a change']","[None, None]"
2,1733462557028605,"At least 32 people are confirmed to have died following the incident in India's Gujarat state.

BBC.COM
Hundreds plunge into river after India bridge collapses",At least 32 people are confirmed to have died following the incident in India's Gujarat state.,"BBC.COM
Hundreds plunge into river after India bridge collapses",2022-10-31 09:47:23,8,0,1,100054397024629,Dra Gon,[],[]
3,1733462400361954,"Video showed about 10 people jumping a fence outside the plant, owned by manufacturer Foxconn, in the central city of Zhengzhou.

BBC.COM
Workers break out of China iPhone factory after Covid lockdown","Video showed about 10 people jumping a fence outside the plant, owned by manufacturer Foxconn, in the central city of Zhengzhou.","BBC.COM
Workers break out of China iPhone factory after Covid lockdown",2022-10-31 09:46:59,6,1,0,100054397024629,Dra Gon,['All big liars covid since December 2019 what a bullshit'],[None]
4,1733462227028638,"Luca Kumahara has represented Brazil at table tennis in the last three Olympics - however his latest challenge has been his biggest.

BBC.COM
'To exist as transgender shows I am resisting'",Luca Kumahara has represented Brazil at table tennis in the last three Olympics - however his latest challenge has been his biggest.,"BBC.COM
'To exist as transgender shows I am resisting'",2022-10-31 09:46:36,5,0,0,100054397024629,Dra Gon,[],[]
5,1733462000361994,"People gathered to pay their respects with prayers and tributes near the scene of the disaster where more than 150 people died.

BBC.CO.UK
Mourners lay flowers at scene of Halloween crush in South Korea capital",People gathered to pay their respects with prayers and tributes near the scene of the disaster where more than 150 people died.,"BBC.CO.UK
Mourners lay flowers at scene of Halloween crush in South Korea capital",2022-10-31 09:46:07,7,1,0,100054397024629,Dra Gon,"[""It's a barbaric act from the developed countries.""]",[None]
6,1733461860362008,"Brazilians on both sides of the political divide have said they are anxious following a polarising campaign.

BBC.COM
Brazil's Bolsonaro and Lula battle it out for top job",Brazilians on both sides of the political divide have said they are anxious following a polarising campaign.,"BBC.COM
Brazil's Bolsonaro and Lula battle it out for top job",2022-10-31 09:45:54,4,0,0,100054397024629,Dra Gon,[],[]
7,1733461710362023,"The French government announced voluntary measures including speed limits on ski lifts and a cap on indoor temperatures at 19C.

BBC.COM
Which countries are doing the most to tackle energy bills?",The French government announced voluntary measures including speed limits on ski lifts and a cap on indoor temperatures at 19C.,"BBC.COM
Which countries are doing the most to tackle energy bills?",2022-10-31 09:45:40,2,0,0,100054397024629,Dra Gon,[],[]
8,1733461497028711,"From glitches on phones to a commercial airliner suddenly dropping hundreds of feet mid-flight - cosmic rays could be to blame.

BBC.COM
How space weather causes computer errors",From glitches on phones to a commercial airliner suddenly dropping hundreds of feet mid-flight - cosmic rays could be to blame.,"BBC.COM
How space weather causes computer errors",2022-10-31 09:45:12,3,0,0,100054397024629,Dra Gon,[],[]
9,1733461293695398,"""The only thing we don't know is who Wembley Point Woman is, or how she came to be at that location at that time.""

BBC.COM
Image of unidentified woman released 18 years after death","""The only thing we don't know is who Wembley Point Woman is, or how she came to be at that location at that time.""","BBC.COM
Image of unidentified woman released 18 years after death",2022-10-31 09:44:40,2,0,0,100054397024629,Dra Gon,[],[]
